Infinitive	First Conjugation	Second Conjugation
atandrysować	atandrysuję	atandrysuje
ateizować	ateizuję	ateizuje
atentować	atentuję	atentuje
atestować	atestuję	atestuje
atomizować	atomizuję	atomizuje
atutować	atutuję	atutuje
aukcjonować	aukcjonuję	aukcjonuje
auskultować	auskultuję	auskultuje
autobiografizować	autobiografizuję	autobiografizuje
autoformatować	autoformatuję	autoformatuje
autografować	autografuję	autografuje
autoironizować	autoironizuję	autoironizuje
autolizować	autolizuję	autolizuje
automatyzować	automatyzuję	automatyzuje
autonomizować	autonomizuję	autonomizuje
autoryzować	autoryzuję	autoryzuje
awansować	awansuję	awansuje
awanturować	awanturuję	awanturuje
awanturzyć	awanturzę	awanturzy
awizować	awizuję	awizuje
azardować	azarduję	azarduje
azotować	azotuję	azotuje
ażurować	ażuruję	ażuruje
babić	babię	babi
babieć	babieję	babieje
babrać	babram	babrze
bachać	bacham	bacha
bachnąć	bachnę	bachnie
bachusować	bachusuję	bachusuje
bacnąć	bacnę	bacnie
bacować	bacuję	bacuje
baczyć	baczę	baczy
bać	boję	boi
badać	badam	bada
bagatelizować	bagatelizuję	bagatelizuje
bagrować	bagruję	bagruje
bajać	bajam	baja
bajcować	bajcuję	bajcuje
bajczyć	bajczę	bajczy
bajdurzyć	bajdurzę	bajdurzy
bajdykować	bajdykuję	bajdykuje
bajerować	bajeruję	bajeruje
bajramować	bajramuję	bajramuje
bajronizować	bajronizuję	bajronizuje
bajtlować	bajtluję	bajtluje
bakałarzować	bakałarzuję	bakałarzuje
bakałarzyć	bakałarzę	bakałarzy
bakelizować	bakelizuję	bakelizuje
bakierować	bakieruję	bakieruje
balangować	balanguję	balanguje
balansować	balansuję	balansuje
balastować	balastuję	balastuje
baletmistrzować	baletmistrzuję	baletmistrzuje
baletować	baletuję	baletuje
balladować	balladuję	balladuje
balotować	balotuję	balotuje
balować	baluję	baluje
balsamować	balsamuję	balsamuje
bałaganić	bałaganię	bałagani
bałakać	bałakam	bałaka
bałamucić	bałamucę	bałamuci
bałuchać	bałucham	bałucha
bałuszyć	bałuszę	bałuszy
bałwanić	bałwanię	bałwani
bałwanieć	bałwanieję	bałwanieje
bałwochwalić	bałwochwalę	bałwochwali
bałykować	bałykuję	bałykuje
banalizować	banalizuję	banalizuje
banalnieć	banalnieję	banalnieje
bandażować	bandażuję	bandażuje
banderolować	banderoluję	banderoluje
bandurzyć	bandurzę	bandurzy
baniować	baniuję	baniuje
banitować	banituję	banituje
banizować	banizuję	banizuje
bankietować	bankietuję	bankietuje
bankrutować	bankrutuję	bankrutuje
banować	banuję	banuje
bańkować	bańkuję	bańkuje
baranieć	baranieję	baranieje
baraszkować	baraszkuję	baraszkuje
barbaryzować	barbaryzuję	barbaryzuje
barczyć	barczę	barczy
barłożyć	barłożę	barłoży
barować	baruję	baruje
barwić	barwię	barwi
barykadować	barykaduję	barykaduje
barytować	barytuję	barytuje
basować	basuję	basuje
bastować	bastuję	bastuje
batikować	batikuję	batikuje
batogować	batoguję	batoguje
batożyć	batożę	batoży
bawiać	bawiam	bawia
bawić	bawię	bawi
bazgrać	bazgrzę	bazgra
bazgrolić	bazgrolę	bazgroli
bazować	bazuję	bazuje
bąblować	bąbluję	bąbluje
bąkać	bąkam	bąka
bąknąć	bąknę	bąknie
beatyfikować	beatyfikuję	beatyfikuje
bebeszyć	bebeszę	bebeszy
bebłać	bebłam	bebła
bebrać	bebram	bebra
bechtać	bechtam	bechta
becić	becę	beci
beczeć	beczę	beczy
beczkować	beczkuję	beczkuje
bednarzować	bednarzuję	bednarzuje
bednarzyć	bednarzę	bednarzy
bejcować	bejcuję	bejcuje
bejramować	bejramuję	bejramuje
bekać	bekam	beka
beknąć	beknę	beknie
beletryzować	beletryzuję	beletryzuje
belferować	belferuję	belferuje
belfrować	belfruję	belfruje
belkować	belkuję	belkuje
belować	beluję	beluje
bełgotać	bełgoczę	bełgoce
bełkotać	bełkoczę	bełkocze
bełtać	bełtam	bełta
besemerować	besemeruję	besemeruje
besować	besuję	besuje
bestwić	bestwię	bestwi
besztać	besztam	beszta
betonować	betonuję	betonuje
bezcześcić	bezczeszczę	bezcześci
bezpieczyć	bezpieczę	bezpieczy
bezradnieć	bezradnieję	bezradnieje
bezrobocić	bezrobocę	bezroboci
bezsilnieć	bezsilnieję	bezsilnieje
bezwładnieć	bezwładnieję	bezwładnieje
bębnić	bębnię	bębni
bębnować	bębnuję	bębnuje
bęcnąć	bęcnę	bęcnie
bękać	bękam	bęka
bękarcieć	bękarcieję	bękarcieje
bęknąć	bęknę	bęknie
biadać	biadam	biada
biadkać	biadkam	biadka
biadolić	biadolę	biadoli
białkować	białkuję	białkuje
bibliotekarzować	bibliotekarzuję	bibliotekarzuje
bibować	bibuję	bibuje
biczować	biczuję	biczuje
bić	biję	bije
biec	biegnę	biegnie
biednieć	biednieję	biednieje
biedolić	biedolę	biedoli
biedować	bieduję	bieduje
biedzić	biedzę	biedzi
biegać	biegam	biega
bieleć	bieleję	bieleje
bielicować	bielicuję	bielicuje
bielić	bielę	bieli
bielmić	bielmię	bielmi
bierać	bieram	biera
bierzmować	bierzmuję	bierzmuje
biesiadować	biesiaduję	biesiaduje
biesić	bieszę	biesi
bieżeć	bieżę	bieży
bieżnikować	bieżnikuję	bieżnikuje
biglować	bigluję	bigluje
bigosować	bigosuję	bigosuje
bigować	biguję	biguje
bijać	bijam	bija
bilansować	bilansuję	bilansuje
biletować	biletuję	biletuje
bimbać	bimbam	bimba
bindować	binduję	binduje
biografizować	biografizuję	biografizuje
biologizować	biologizuję	biologizuje
biosterować	biosteruję	biosteruje
birbantować	birbantuję	birbantuje
bisić	biszę	bisi
biskupować	biskupuję	biskupuje
biskwitować	biskwituję	biskwituje
bisować	bisuję	bisuje
bisurmanić	bisurmanię	bisurmani
bisurmanieć	bisurmanieję	bisurmanieje
bitumować	bitumuję	bitumuje
biurokratycznieć	biurokratycznieję	biurokratycznieje
biurokratyzować	biurokratyzuję	biurokratyzuje
biwakować	biwakuję	biwakuje
bizantynizować	bizantynizuję	bizantynizuje
bizunować	bizunuję	bizunuje
blachować	blachuję	blachuje
bladnąć	bladnę	bladnie
blagować	blaguję	blaguje
blajtlować	blajtluję	blajtluje
blaknąć	blaknę	blaknie
blamować	blamuję	blamuje
blanszować	blanszuję	blanszuje
blanżerować	blanżeruję	blanżeruje
blatować	blatuję	blatuje
blazonować	blazonuję	blazonuje
blazować	blazuję	blazuje
blechować	blechuję	blechuje
blednąć	blednę	blednie
blednieć	blednieję	blednieje
bledzić	bledzę	bledzi
blefować	blefuję	blefuje
blekotać	blekocę	blekocze
blichować	blichuję	blichuje
blikować	blikuję	blikuje
blindować	blinduję	blinduje
bliznowacieć	bliznowacieję	bliznowacieje
bliźnić	bliźnię	bliźni
bliżyć	bliżę	bliży
blogować	bloguję	bloguje
blokować	blokuję	blokuje
bluffować	bluffuję	bluffuje
bluzgać	bluzgam	bluzga
bluzgnąć	bluzgnę	bluzgnie
bluznąć	bluznę	bluźnie
bluźnić	bluźnię	bluźni
błagać	błagam	błaga
błamować	błamuję	błamuje
błaznować	błaznuję	błaznuje
błaźnić	błaźnię	błaźni
błądzić	błądzę	błądzi
błąkać	błąkam	błąka
błąkiwać	błąkiwam	błąkiwa
błękitnawieć	błękitnawieję	błękitnawieje
błękitnić	błękitnię	błękitni
błękitnieć	błękitnieję	błękitnieje
błocić	błocę	błoci
błogosławić	błogosławię	błogosławi
błyskać	błyskam	błyska
błyskotać	błyskoczę	błyskocze
błysnąć	błysnę	błyśnie
błyszczeć	błyszczę	błyszczy
bobczyć	bobczę	bobczy
bobować	bobuję	bobuje
bobrować	bobruję	bobruje
bocznikować	bocznikuję	bocznikuje
boczyć	boczę	boczy
bodiczkować	bodiczkuję	bodiczkuje
bodnąć	bodnę	bodnie
bodźcować	bodźcuję	bodźcuje
bogacić	bogacę	bogaci
bogacieć	bogacieję	bogacieje
bohemizować	bohemizuję	bohemizuje
bojkotować	bojkotuję	bojkotuje
bojować	bojuję	bojuje
boksować	boksuję	boksuje
boleć	bolę	boli
bolszewizować	bolszewizuję	bolszewizuje
bombardować	bombarduję	bombarduje
bomblować	bombluję	bombluje
bonderyzować	bonderyzuję	bonderyzuje
bonifikować	bonifikuję	bonifikuje
boniować	boniuję	boniuje
bonitować	bonituję	bonituje
bonować	bonuję	bonuje
bookować	bookuję	bookuje
bordowieć	bordowieję	bordowieje
borgować	borguję	borguje
borować	boruję	boruje
borowodorować	borowodoruję	borowodoruje
borsuczeć	borsuczeję	borsuczeje
bortować	bortuję	bortuje
borukać	borukam	boruka
borykać	borykam	boryka
bość	bodę	bodzie
botanizować	botanizuję	botanizuje
bożyć	bożę	boży
bóstwić	bóstwię	bóstwi
bóść	bodę	bodzie
bracić	bracę	braci
brać	biorę	bierze
bradiażyć	bradiażę	bradiaży
bradziażyć	bradziażę	bradziaży
brajlować	brajluję	brajluje
brakować	brakuję	brakuje
bramować	bramuję	bramuje
brandzlować	brandzluję	brandzluje
brantować	brantuję	brantuje
branzlować	branzluję	branzluje
brasować	brasuję	brasuje
bratać	bratam	brata
brawować	brawuję	brawuje
brawurować	brawuruję	brawuruje
brązować	brązuję	brązuje
brązowić	brązowię	brązowi
brązowieć	brązowieję	brązowieje
brdysać	brdysam	brdysa
brechać	breszę	bresze
brechtać	brechtam	brechta
bredzić	bredzę	bredzi
breszyć	breszę	breszy
brnąć	brnę	brnie
broczyć	broczę	broczy
brodzić	brodzę	brodzi
brogować	broguję	broguje
broić	broję	broi
bromować	bromuję	bromuje
bronić	bronię	broni
bronować	bronuję	bronuje
broszować	broszuję	broszuje
broszurować	broszuruję	broszuruje
brudnić	brudnię	brudni
brudnieć	brudnieję	brudnieje
brudzić	brudzę	brudzi
brukać	brukam	bruka
brukować	brukuję	brukuje
brunatnić	brunatnię	brunatni
brunatnieć	brunatnieję	brunatnieje
brusić	bruszę	brusi
brutalizować	brutalizuję	brutalizuje
bruzdkować	bruzdkuję	bruzdkuje
bruzdować	bruzduję	bruzduje
bruździć	brużdżę	bruździ
brykać	brykam	bryka
brykietować	brykietuję	brykietuje
bryknąć	bryknę	bryknie
brylantować	brylantuję	brylantuje
brylantynować	brylantynuję	brylantynuje
brylować	bryluję	bryluje
bryzgać	bryzgam	bryzga
bryzgnąć	bryzgnę	bryzgnie
bryznąć	bryznę	bryźnie
bryzować	bryzuję	bryzuje
brząkać	brząkam	brząka
brząknąć	brząknę	brząknie
brzdąkać	brzdąkam	brzdąka
brzdąknąć	brzdąknę	brzdąknie
brzdękać	brzdękam	brzdęka
brzdęknąć	brzdęknę	brzdęknie
brzechać	brzeszę	brzesze
brzechotać	brzechocę	brzechocze
brzegować	brzeguję	brzeguje
brzeżyć	brzeżę	brzeży
brzęczeć	brzęczę	brzęczy
brzęczyć	brzęczę	brzęczy
brzękać	brzękam	brzęka
brzęknąć	brzęknę	brzęknie
brzmieć	brzmieję	brzmieje
brzuszyć	brzuszę	brzuszy
brzyć	brzę	brzy
brzydnąć	brzydnę	brzydnie
brzydzić	brzydzę	brzydzi
bublowacieć	bublowacieję	bublowacieje
buchać	bucham	bucha
buchnąć	buchnę	buchnie
buchtować	buchtuję	buchtuje
buczeć	buczę	buczy
buczyć	buczę	buczy
budować	buduję	buduje
budzić	budzę	budzi
budżetować	budżetuję	budżetuje
bufonować	bufonuję	bufonuje
buforować	buforuję	buforuje
bujać	bujam	buja
bujnąć	bujnę	bujnie
bujnieć	bujnieję	bujnieje
bukować	bukuję	bukuje
buksować	buksuję	buksuje
bulderować	bulderuję	bulderuje
bulgnąć	bulgnę	bulgnie
bulgotać	bulgoczę	bulgoce
bulić	bulę	buli
bulkotać	bulkoczę	bulkocze
bulwersować	bulwersuję	bulwersuje
bułgarszczyć	bułgarszczę	bułgarszczy
bułgaryzować	bułgaryzuję	bułgaryzuje
bumblować	bumbluję	bumbluje
bumelować	bumeluję	bumeluje
bumlować	bumluję	bumluje
bundiuczyć	bundiuczę	bundiuczy
bundziuczyć	bundziuczę	bundziuczy
bunkrować	bunkruję	bunkruje
buntować	buntuję	buntuje
buńczuczyć	buńczuczę	buńczuczy
buńdiuczyć	buńdiuczę	buńdiuczy
burczeć	burczę	burczy
burgrabić	burgrabię	burgrabi
burknąć	burknę	burknie
burłaczyć	burłaczę	burłaczy
burmistrzować	burmistrzuję	burmistrzuje
burmuszyć	burmuszę	burmuszy
burować	buruję	buruje
burszować	burszuję	burszuje
burtować	burtuję	burtuje
burzeć	burzeję	burzeje
burzyć	burzę	burzy
burżuazyjnieć	burżuazyjnieję	burżuazyjnieje
busiać	busiam	busia
buszować	buszuję	buszuje
butelkować	butelkuję	butelkuje
butować	butuję	butuje
butwieć	butwieję	butwieje
buzerować	buzeruję	buzeruje
buzować	buzuję	buzuje
byczyć	byczę	byczy
być	jestem	jest
bydlęcić	bydlęcę	bydlęci
bydlęcieć	bydlęcieję	bydlęcieje
bykować	bykuję	bykuje
bystrzyć	bystrzę	bystrzy
bytować	bytuję	bytuje
bywać	bywam	bywa
bzdęgolić	bzdęgolę	bzdęgoli
bzdręgolić	bzdręgolę	bzdręgoli
bzdurzyć	bzdurzę	bzdurzy
bzdyczyć	bzdyczę	bzdyczy
bzikować	bzikuję	bzikuje
bzyczeć	bzyczę	bzyczy
bzykać	bzykam	bzyka
bzyknąć	bzyknę	bzyknie
bździć	bżdżę	bździ
cackać	cackam	cacka
całkować	całkuję	całkuje
całować	całuję	całuje
campingować	campinguję	campinguje
capać	capię	capie
capić	capię	capi
capieć	capieję	capieje
capierzyć	capierzę	capierzy
caplować	capluję	capluje
capnąć	capnę	capnie
cechować	cechuję	cechuje
ceckać	ceckam	cecka
cedować	ceduję	ceduje
cedzić	cedzę	cedzi
cegiełkować	cegiełkuję	cegiełkuje
